dc.title,dc.creator,cg.contributor.affiliation,dc.description.abstract,dc.date.issued,dc.subject,cg.subject.agrovoc,dc.identifier.uri,dc.identifier.doi,cg.identifier.status,dc.rights,cg.coverage.country,cg.coverage.region,dc.language,dc.source,dc.publisher,cg.contributor.funder,dc.type
The black box of power in polycentric environmental governance,"Morrison, T.H.; Adger, W.N.; Brown, K.; Lemos, M.C.; Huitema, D.; Phelps, J.; Evans, L.; Cohen, P.J.; Song, A.M.; Turner, R.; Quinn, T.; Hughes, T.P.",James Cook University; University of Exeter; University of Michigan; VU University Amsterdam; Netherlands Open University; Lancaster University; WorldFish; University of Exeter,"Failure to address unsustainable global change is often attributed to failures in conventional environmental governance. Polycentric environmental governance—the popular alternative—involves many centres of authority interacting coherently for a common governance goal. Yet, longitudinal analysis reveals many polycentric systems are struggling to cope with the growing impacts, pace, and scope of social and environmental change. Analytic shortcomings are also beginning to appear, particularly in the treatment of power. Here we draw together diverse social science perspectives and research into a variety of cases to show how different types of power shape rule setting, issue construction, and policy implementation in polycentric governance. We delineate an important and emerging research agenda for polycentric environmental governance, integrating diverse types of power into analytical and practical models.",2019,,small-scale fisheries; governance; climate change; environment; policies; research,https://hdl.handle.net/20.500.12348/3792,https://doi.org/10.1016/j.gloenvcha.2019.101934,Open access,CC BY 4.0,,Global,En,Global Environmental Change,Elsevier,Australian Research Council’s Centreof Excellence Program; CGIAR Trust Fund,Journal Article
Future scenarios for the supply and demand for fish in the Philippines: Simulations from the Asiafish model,"Rodriguez, U.P.E.; Ramirez, P.J.B.; Zamora, G.J.; Perez, M.L.; Phillips, M.",University of the Philippines Los Baños; WorldFish,"This paper explores future scenarios for the production, consumption, international trade and prices in fish of the Philippines through the year 2035. Future paths for output were obtained through expert consultations while those for consumption and international trade were generated by feeding the output projections into a multi-market model known as AsiaFish. The baseline scenario depicts a setting where total fish production in 2035 is about 5.5 million tons or about two times its levels in 2012. As a result, per capita consumption of fish will be about 37 kg/person in 2035 or about 20% higher than in 2012. Fish exports and imports in 2035 are also expected to be more than two times as much as in 2012. Alternative scenarios depict both optimistic and pessimistic outcomes for the fish sector of the country. These scenarios were assumed to be influenced by perceptions on the impacts of climate change, adaptation to climate change, equity in the use of resources, and government policy",2018,,climate change; demand; fishery production; supply,https://hdl.handle.net/20.500.12348/2224,,Limited access,,Philippines,,En,Philippine Agricultural Scientist,"College of Agriculture and Food Science, University of the Philippines Los Banos","Department of Science and Technology – Philippine Council for Agriculture, Aquatic and Natural Resources Research and Development (DOST-PCAARRD)",Journal Article
Knowledge networks to support youth engagement in sustainable food systems,"Huambachano, M.; Arulingam, I.; Bowness, E.; Korzenszky, A.; Mungai, C.; Termine, P.; Wittman, H.",International Water Management Institute; Food and Agriculture Organization of the United Nations; International Union for Conservation of Nature; Syracuse University; The University of British Columbia,"Young people are on the front lines of transforming agriculture and food systems, coping with the social and economic impacts of COVID-19 as well as environmental and climate change effects which are likely to accelerate and intensify during their lifetimes. At the same time, young people across global contexts are increasingly emerging as visible agents of change in food systems, especially through networks that create, transform, and distribute food systems knowledge. This policy and practice review examines the role of youth as actors through food systems knowledge networks. Increasing youth participation in creating sustainable food systems for the future requires policies and practices that support food systems-related knowledge in two ways: (1) democratizing formal education systems; and (2) strengthening horizontal networks of grassroots research and innovation, including through traditional, ecological, local and community knowledge (TELCK). Food systems policies should be developed through dialogue with diverse knowledge systems, experiences, place-based needs, and aspirations of young people to maximize their participation in food systems policy development and evaluation.",2022,traditional ecological knowledge; youth engagement; sustainable food systems education; cultural knowledge; knowledge networks; food systems poli,Fish,https://hdl.handle.net/20.500.12348/5560,https://dx.doi.org/10.3389/fsufs.2022.867344,Open access,CC-BY-4.0,,,en,"Frontiers in Sustainable Food Systems;6,(2022)",Frontiers Media,United Nations Committee on World Food Security,Journal Article
Gender equality in climate policy and practice hindered by assumptions,"Lau, J.; Kleiber, D.L.; Lawless, S.; Cohen, P.J.","James Cook University, ARC Centre of Excellence for Coral Reef Studies; James Cook University; WorldFish; James Cook University, School of Environmental and Earth Sciences, Center for Tropical Environmental and Sustainability Science","Gender has a powerful influence on people’s experience of, and resilience to, climate change. Global climate change policy is committed to tackling gender inequalities in mitigation and adaptation. However, progress is hindered by numerous challenges, including an enduring set of gender assumptions: women are caring and connected to the environment, women are a homogenous and vulnerable group, gender equality is a women’s issue and gender equality is a numbers game. We provide an overview of how these assumptions essentialize women’s and men’s characteristics, narrowly diagnose the causes of gender inequality, and thereby propel strategies that have unintended and even counterproductive consequences. We offer four suggestions for a more informed pursuit of gender equality in climate change policy and practice.",2021,developing world; climate-change adaptation; climate-change mitigation,climate change; social sciences,https://hdl.handle.net/20.500.12348/4553,https://dx.doi.org/10.1038/s41558-021-00999-7,Timeless limited access,Copyrighted; Non-commercial educational use only,,Global,en,"Nature Climate Change;11,(2021) Pagination 186,192",NATURE RESEARCH,OAK Foundation,Journal Article
Increasing social-ecological resilience within small-scale agriculture in conflict-affected Guatemala,"Hellin, J.; Ratner, B.; Meinzen-Dick, R.; Lopez-Ridaura, S.",International Maize and Wheat Improvement Center (CIMMYT); WorldFish; International Rice Research Institute (IRRI); International Food Policy Research Institute (IFPRI),"Climate change scenarios suggest largely detrimental impacts on agricultural production from a deterioration of renewable natural resources. Over the last 15 years, a new field of research has focused on the interactions between climate and conflict risk,",2018,,climate change; food security; governance; resilience,https://hdl.handle.net/20.500.12348/927,https://doi.org/10.5751/ES-10250-230305,Open access,,Guatemala,South America,En,Ecology and Society,"Resilience Alliance, Acadia University",USAID,Journal Article
Future scenarios of fish supply and demand for food and nutrition security in Bangladesh: An analysis with the AsiaFish model,"Tran, N.; Rodriguez, U.P.; Chan, C.; Aung, Y.M.; Long Chu, H.; Md. Saiful Islam, A.H.; Barman, B.K.; Phillips, M.",WorldFish; Australian National University; University of the Philippines Los Baños; Bangladesh Agricultural University,"Bangladesh has made significant progress in social and economic development in recent years, but micronutrient deficiencies and poor dietary diversity remain a significant challenge. This paper developed five scenarios to explore futures of fish supply-demand in Bangladesh using the AsiaFish model, with special emphasis on the role of fish in macronutrient and micronutrient supply to address the nation's malnutrition and nutrition security challenges. A business-as-usual (BAU) scenario followed historical trends for exogenous variables used in the model. The four alternative scenarios explored: the implications of increase productivity of farmed tilapia, pangasius and rohu carp (AS1); improvements in the quality of feeds (AS2); disease outbreak in farmed shrimps and prawns (AS3); and climate change impacts (AS4). The BAU scenario indicates that aquaculture growth will be a prominent contribution to increasing total fish supply and demand and fish exports to 2040. Apart from the scenarios that are favourable to aquaculture sector development, other alternative scenarios highlighted the lower growth rate of capture fisheries and aquaculture compared to BAU, resulting in declining in per capita fish consumption, fish exports and nutrient supply from fish as a consequence. Increased availability of aquaculture fish can slightly compensate for the lower growth of capture fisheries in term of their nutrition quality and dietary diversity, particularly for poor consumers. Policies towards sustaining fisheries and a nutrition-sensitive approach to aquaculture is recommended as both capture fisheries and aquaculture are essential for sustaining healthy and nutritious diets in Bangladesh.",2023,"scenarios; climate adaptation and mitigation; asiafish model; supply-demand; nutrition, health and food security",bangladesh; nutrients; Fish,https://hdl.handle.net/20.500.12348/5467,https://dx.doi.org/10.1016/j.aquaculture.2023.739288,Open access,CC-BY-4.0,Bangladesh,Southern Asia,en,"Aquaculture;568,(2023)",Elsevier Ltd.,German Federal Ministry for Economic Cooperation and Development,Journal Article
Social determinants of adaptive and transformative responses to climate change,"Barnes, M.; Wang, P.; Cinner, J.; Graham, N.; Guerrero, A.M.; Jasny, L.; Lau, J.; Sutcliffe, S.; Zamborain-Mason, J.","University of Exeter; Swinburne University of Technology; Lancaster University, Lancaster Environment Centre; James Cook University, ARC Centre of Excellence for Coral Reef Studies; Lancaster University; Stockholm Resilience Centre; WorldFish","To cope effectively with the impacts of climate change, people will need to change existing practices or behaviours within existing social-ecological systems (adaptation) or enact more fundamental changes that can alter dominant social-ecological relationships and create new systems or futures (transformation). Here we use multilevel network modelling to examine how different domains of adaptive capacity-assets, flexibility, organization, learning, socio-cognitive constructs and agency-are related to adaptive and transformative actions. We find evidence consistent with an influence process in which aspects of social organization (exposure to others in social networks) encourage both adaptive and transformative actions among Papua New Guinean islanders experiencing climate change impacts.",2020,climate-change adaptation; interdisciplinary studies; psychology and behaviour,environmental sciences; sociology,https://hdl.handle.net/20.500.12348/4344,https://dx.doi.org/10.1038/s41558-020-0871-4,Timeless limited access,CC-BY-NC-4.0,Papua New Guinea,Melanesia,en,"Nature Climate Change;10,(2020) Pagination 823,828",Nature Research (part of Springer Nature) (Fully open access journals),CGIAR System Organization,Journal Article
Cost effective aquaponics for food security and income of farming households in coastal Bangladesh,"Rahman Sunny, A.; Islam, M.; Rahman, M.; Miah, M.Y.; Mostafiz, M.; Islam, N.; Hossain, M.Z.; Chowdhury, M.A.; Islam, M.A.; Keus, H.J.","WorldFish; Sylhet Agricultural University; Shahjalal University of Science and Technology; Bangladesh Rice Research Institute; Pathfinder Agro and Fisheries Consultation Center, Department of Natural Resource Management","The word ‘aquaponics’ is a combination of ‘aquaculture’ (fish farming) and hydroponics (cultivation in water). It raises both vegetables and fish in a limited space at a relatively low financial cost by adding diversification in culture technique. In this study, experiments were setup with an aim for integrated culture of fish and vegetables in cost effect aquaponics. Pond aquacponics can contribute to increase in food production and will be more popular than traditional only pond fish culture system due to optimal use of the pond. This technology is not only applicable in ponds but also may be applied in beels (static lake), river, haor (depression of shallow water), baor (oxbow lake) and other water bodies if security of the aquaponics system can be maintained.",2019,low cost; tidal surge; coastal bangladesh; Fish,climate change; aquaponics,https://hdl.handle.net/20.500.12348/2967,https://dx.doi.org/10.1016/j.ejar.2019.01.003,Open access,CC-BY-4.0,Bangladesh,Southern Asia,en,"The Egyptian Journal of Aquatic Research;45,(2019) Pagination 89,97",National Institute of Oceanography & Fisheries,United States Agency for International Development,Journal Article
Technical efficiency of small-scale aquaculture in Myanmar: Does women’s participation in decision-making matter?,"Aung, Y.M.; Khor, L.; Tran, N.; Shikuku, K.M.; Zeller, M.",University of Hohenheim; Yezin Agricultural University; WorldFish,"Efficient use of inputs is crucial for sustainable aquaculture productivity growth, increased profitability, and improved livelihoods in developing countries. Studies have shown that women’s participation in decision-making (WPDM) can influence technical efficiency among agricultural crops farmers. However, rigorous empirical evidence in small-scale aquaculture is inadequate. Using data from 440 small-scale aquaculture households in the Ayeyarwady Delta region of Myanmar, this study: (a) measures technical efficiency using radial, non-radial and two-stage double bootstrap data envelopment analysis (DEA); and (b) examines the effect of WPDM on technical efficiency. Results reveal that most households perform 45–60% below the production frontier indicating they are not technically efficient. WPDM correlates with a significant increase in technical efficiency suggesting that women’s empowerment contributes to optimal use of inputs and improved on-farm aquaculture performance. Practicing polyculture and implementing climate change adaptation strategies correlate with enhanced efficiency. Practicing polyculture with compatible fish species allows advantageous interactions and coexistence which improve inputs utilization and reduce wastes. Judicious use of inputs as a strategy for addressing climatic shocks possibly explains the positive correlation between adaptation and technical efficiency. Together, the findings highlight the important need to promote interventions targeted at improving technical efficiency of small-scale aquaculture producers. Improving technical efficiency can reduce production costs, increase net farm income, and provide a sustainable supply of nutritious foods, a source of essential micronutrients such as vitamins and omega-3 fatty acids, and affordable animal-source protein. Programs and policies aimed at increasing aquaculture productivity would benefit by including interventions to reduce gender inequality and promoting equity.",2021,input use efficiency; women’s participation in decision-making; Fish,data envelopment analysis; myanmar; small-scale aquaculture,https://hdl.handle.net/20.500.12348/4908,https://dx.doi.org/10.1016/j.aqrep.2021.100841,Open access,CC-BY-4.0,Myanmar,South-Eastern Asia,en,"Aquaculture Reports;21,(2021)",Elsevier,German Federal Ministry for Economic Cooperation and Development; Deutscher Akademischer Austauschdienst,Journal Article
Projections and impact assessment of the local climate change conditions of the Black Volta Basin of Ghana based on the Statistical DownScaling Model,"Siabi, E.K.; Phuong, D.N.; Kabobah, A.T.; Akpoti, K.; Anornu, G.; Incoom, A.B.; Nyantakyi, E.K.; Yeboah, K.A.; Siabi, S.E.; Vuu, C.; Domfeh, M.K.; Mortey, E.M.; Wemegah, C.S.; Kudjoe, F.; Opoku, P.D.; Asare, A.; Mensah, S.K.; Donkor, P.; Opoku, E.K.; Outtara, Z.A.; Obeng-Ahenkora, N.K.; Adusu, D.; Quansah, A.","International Water Management Institute; Nong Lam University; The University of Energy and Natural Resources; Kwame Nkrumah University of Science and Technology; University of Energy and Natural Resources, Earth Observation Research and Innovation Center; University of Energy and Natural Resources, Regional Center for Energy and Environmental Sustainability","The uncertainties and biases associated with Global Climate Models (GCMs) ascend from global to regional and local scales which delimits the applicability and suitability of GCMs in site-specific impact assessment research. The study downscaled two GCMs to evaluate effects of climate change (CC) in the Black Volta Basin (BVB) using Statistical DownScaling Model (SDSM) and 40-year ground station data. The study employed Taylor diagrams, dimensionless, dimensioned, and goodness of fit statistics to evaluate model performance. SDSM produced good performance in downscaling daily precipitation, maximum and minimum temperature in the basin. Future projections of precipitation by HadCM3 and CanESM2 indicated decreasing trend as revealed by the delta statistics and ITA plots. Both models projected near- to far-future increases in temperature and decreases in precipitation by 2.05-23.89, 5.41–46.35, and 5.84–35.33% in the near, mid, and far future respectively. Therefore, BVB is expected to become hotter and drier by 2100. As such, climate actions to combat detrimental effects on the BVB must be revamped since the basin hosts one of the largest hydropower dams in Ghana. The study is expected to support the integration of CC mitigation into local, national, and international policies, and support knowledge and capacity building to meet CC challenges.",2023,gcms; sdsm; black volta basin; innovative-sen trend analysis,climate change; impact assessment,https://hdl.handle.net/20.500.12348/5834,https://dx.doi.org/10.2166/wcc.2023.352,Open access,CC-BY-4.0,Ghana,Western Africa,en,Journal of Water and Climate Change;(2023),IWA Publishing,,Journal Article
Communities and change in the anthropocene: understanding social-ecological vulnerability and planning adaptations to multiple interacting exposures,"Bennett, N.J.; Blythe, J.; Tyler, S.; Ban, N.C.",University of British Columbia; University of Washington; WorldFish; Adaptive Resource Management; University of Victoria; University of Victoria,"The majority of vulnerability and adaptation scholarship, policies and programs focus exclusively on climate change or global environmental change. Yet, individuals, communities and sectors experience a broad array of multi-scalar and multi-temporal, social, political, economic and environmental changes to which they are vulnerable and must adapt. While extensive theoretical - and increasingly empirical - work suggests the need to explore multiple exposures, a clear conceptual framework which would facilitate analysis of vulnerability and adaptation to multiple interacting socioeconomic and biophysical changes is lacking. This review and synthesis paper aims to fill this gap through presenting a conceptual framework for integrating multiple exposures into vulnerability analysis and adaptation planning.",2016,,adaptation; policies; research,https://hdl.handle.net/20.500.12348/751,https://doi.org/10.1007/s10113-015-0839-5,Open access,CC BY 4.0,,,En,,Springer,,Journal Article
Foresighting future climate change impacts on fisheries and aquaculture in Vietnam,"Tran, N.; Chan, C.; Aung, Y.M.; Bailey, C.; Akester, M.J.; Le, Q.C.; Trinh, T.Q.; Hoang, C.V.; Sulser, T.; Wiebe, K.",International Food Policy Research Institute; WorldFish; Vietnam Institute for Fisheries Economics and Planning; Auburn University,"The Vietnamese fisheries sector, including both marine fisheries and aquaculture, has made spectacular progress in recent years, becoming one of the top seafood producing and exporting countries in the world. Looking forward, development goals of this sector must address challenges associated with climate change, including changing distribution of commercially important marine species such as tuna and disruptions to land-based aquaculture production systems. This study investigates the prospective climate change impacts on Vietnam's fisheries sector, focusing on four key commodities including capture fisheries (tuna), freshwater aquaculture (pangasius catfish and tilapia), and brackish water aquaculture (shrimp). The extent of impact varies, but climate change represents a potentially significant threat to sustainable production in each production system. Producers, policy makers, and other stakeholders need to plan for and adapt to climate change to ensure the sustainable development of Vietnam's fisheries sector.",2022,climate change impacts; vietnam; foresight,aquaculture; capture fisheries; Fish,https://hdl.handle.net/20.500.12348/5527,https://dx.doi.org/10.3389/fsufs.2022.829157,Open access,CC-BY-4.0,Viet Nam,South-Eastern Asia,en,"Frontiers in Sustainable Food Systems;6,(2022)",Frontiers Media,"CGIAR Research Program on Policies, Institutions, and Markets; CGIAR Research Program on Fish Agri-Food Systems; Mitigate+: Research for Low Emissions Food Systems",Journal Article
Inequality and the Biosphere,"Hamann, M.; Berry, K.; Chaigneau, T.; Curry, T.; Heilmayr, R.; Henriksson, P.J.; Hentati-Sundberg, J.; Jina, J.A.; Lindkvist, E.; Lopez-Maldonado, Y.; Nieminen, E.; Piaggio, M.; Qiu, J.X.; Rocha, J.C.; Schill, C.; Shepon, A.; Tilman, A.R.; van den Bijga, I.; Wu, T.",Stellenbosch University; University of Alaska Anchorage; University of Exeter; University of Alaska Fairbanks; University of California; WorldFish; Swedish University of Agricultural Sciences; University of Chicago; Ludwig Maximilian University of Munich; Finnish Environment Institute (SYKE); Environment for Development-Center for Tropical Agricultural Research and Education (EfD-CATIE); University of Florida; Department of Plant and Environmental Sciences; University of Pennsylvania; University of Gothenburg; Arizona State University,"Rising inequalities and accelerating global environmental change pose two of the most pressing challenges of the twenty-first century. To explore how these phenomena are linked, we apply a social-ecological systems perspective and review the literature to identify six different types of interactions (or “pathways”) between inequality and the biosphere. We find that most of the research so far has only considered one-directional effects of inequality on the biosphere, or vice versa. However, given the potential for complex dynamics between socioeconomic and environmental factors within social-ecological systems, we highlight examples from the literature that illustrate the importance of cross-scale interactions and feedback loops between inequality and the biosphere. This review draws on diverse disciplines to advance a systemic understanding of the linkages between inequality and the biosphere, specifically recognizing cross-scale feedbacks and the multidimensional nature of inequality.",2018,,climate change,https://hdl.handle.net/20.500.12348/928,https://doi.org/10.1146/annurev-environ-102017-025949,Limited access,,,Global,En,Annual Review of Environment and Resources,Annual Reviews,VINNOVA-VINMER Marie Curie Incoming grant (2015–01556); US National Science Foundation DEB-1632648,Journal Article
"Guest Editorial: Geographies of engagement, livelihoods and possibility in South and Southeast Asian deltas","Bernzen, A.; Pritchard, B.; Braun, B.; Belton, B.; Rigg, J.","WorldFish; University of Vechta; University of Sydney; University of Cologne; Michigan State University; University of Bristol, School of Geographical Sciences",Introduction to a special issue on the geography of mega-deltas in South and Southeast Asia,2021,environmental change,climate change; farming systems; livelihoods; deltas; food systems; asia; ecology; wetlands; covid-19; economic aspects; socioeconomic aspects; geography,https://hdl.handle.net/20.500.12348/4732,https://dx.doi.org/10.1111/sjtg.12373,Timeless limited access,Copyrighted; all rights reserved,Bangladesh; Myanmar; Viet Nam,Southern Asia; South-Eastern Asia,en,"Singapore Journal of Tropical Geography;(2021) Pagination 197,202",Wiley,,Journal Article
Spatiotemporal determinants of seasonal gleaning,"Grantham, R.; Álvarez-Romero, J.G.; Mills, D.J.; Rojas, C.A.; Cumming, G.","James Cook University, ARC Centre of Excellence for Coral Reef Studies; WorldFish; The Pontifical Catholic University of Chile","1. Many coastal communities depend on ecosystems for goods and services that contribute to human well-being. As long-standing interactions between people and nature are modified by global environmental change, dynamic and diversified livelihood strategies that enable seasonal adaptation will be critical for vulnerable coastal communities. However, the success of such strategies depends on a range of poorly understood influences.
2. Gleaning, the hand-based collection of marine organisms from littoral habitats, provides an interesting case study of dynamic change in social-ecological interactions. It is an important coastal livelihood strategy, yet seasonal gleaning dynamics have not been empirically explored in contemporary communities. We examined seasonal gleaning in eight coastal communities on Atauro Island, Timor-Leste, using household surveys and satellite-derived maps of shallow-water benthic habitats. Our analysis explored the factors affecting household decisions to glean in each season, the relationship between gleaning and seafood consumption, and seasonal gleaning pressure on near-shore coastal resources.
3. Dynamic marine harvesting strategies differed among households and gleaning activity was seasonally heterogeneous. Not all gleaning households gleaned during the season characterised by rough sea conditions despite rough season gleaning being associated with greater seafood consumption stability among seasons. Households also gleaned less regularly, and catches were smaller, in the rough season.
4. Differences in seasonal participation in gleaning were explained mostly by type and extent of shallow habitat proximate to a community. In the calm season, household gleaning was positively related to the total area of shallow habitat, and in the rough season the percentage of hard-bottom shallow habitat was also an important predictor of gleaning activity.
5. Our findings illustrate how changes in the biophysical environment mediate human–nature interactions at fine scales through time and space. Consequently, this research highlights the importance of context-specific perspectives for understanding drivers and dynamics in fishing pressure on littoral ecosystems, access to ecosystem benefits and limits to adaptation. Factors influencing when livelihood activities are feasible and desirable are important for evaluating the social impacts of climate change, particularly in the context of rural communities in the Global South.",2021,coastal; social-ecological systems; coral reef; Fish,ecosystem services; food security; livelihoods; small-scale fisheries,https://hdl.handle.net/20.500.12348/4940,https://dx.doi.org/10.1002/pan3.10179,Open access,CC-BY-4.0,Timor-Leste,South-Eastern Asia,en,"People and Nature;3,(2021) Pagination 376,390",Wiley Open Access,,Journal Article
Determinants of climate change adaptive behavior in coastal communities in Southeast Asia,"Sajise, A.J.U.; Ramirez, P.J.B.; Perez, M.L.; Arias, J.K.B.; Zamora, G.J.",University of the Philippines Los Baños Laguna; WorldFish,"This study sought to understand the determinants of autonomous adaptation of households in coastal communities in three countries (Indonesia, the Philippines, and Vietnam) as regards climate change. The study’s main innovation is its focus on households facing a confluence of related hazards, a context that is unique to coastal communities. The study tackled the interrelated hazards of coastal erosion, flooding, and saltwater intrusion, and used a multivariate probit model to analyze the determinants. Regression results show that households adapt or respond autonomously to a combination of hazards.",2017,,adaptation; climate change; gender,https://hdl.handle.net/20.500.12348/630,,Open access,,Indonesia; Philippines; Viet Nam,South-Eastern Asia,En,Asian Journal of Agriculture and Development,Southeast Asian Regional Center for Graduate Study and Research in Agriculture,,Journal Article
Adaptation for changing deltas,"Ghosh, T.; Luc, H.H.; Park, E.; Mortreux, C.; Okoh, R.; Nesterenko, M.; Dubey, S.K.; Gain, A.K.; Le, D.P.; Giosan, L.; Syvitski, J.",International Center for Tropical Agriculture; WorldFish; Asian Institute of Technology; The University of Melbourne; Woods Hole Oceanographic Institution; Murdoch University; University of Colorado Boulder; Nanyang Technological University; Jadavpur University; Delta State University; Rewilding Europe,"Deltas have provided fertile farmland, productive fishing, and access to trade routes for millennia. Today,
more than five hundred million people live on deltas and coastal urban areas. Yet deltas are also incredibly
vulnerable to the pressures of climate change. This Voices asks: what are the opportunities and barriers to
adaptation for delta communities facing unprecedented change in the coming years?",2023,,aquaculture; fisheries; deltas; Fish,https://hdl.handle.net/20.500.12348/5490,https://dx.doi.org/10.1016/j.oneear.2023.02.014,Open access,Copyrighted; all rights reserved,,,en,"One Earth;6,(2023) Pagination 185-189",Cell Press,,Journal Article
Can marine fisheries and aquaculture meet fish demand from a growing human population in a changing climate?,"Merino, G.; Barange, M.; Blanchard, J.L.; Harle, J.; Holmes, R.; Allen, I.; Allison, E.; Badjeck, M.C.",Plymouth Marine Laboratory; University of Sheffield; Proudman Oceanographic Laboratory; WorldFish; Simon Fraser University; School of Environmental Sciences; Centre for Environment; Unite´ de Recherche Ecosyste`mes Marins Exploites; School of Marine Science and Engineering,"Expansion in the world's human population and economic development will increase future demand for fish products. As global fisheries yield is constrained by ecosystems productivity and management effectiveness, per capita fish consumption can only be maintained or increased if aquaculture makes an increasing contribution to the volume and stability of global fish supplies. Here, we use predictions of changes in global and regional climate (according to IPCC emissions scenario A1B), marine ecosystem and fisheries production estimates from high resolution regional models, human population size estimates from United Nations prospects, fishmeal and oil price estimations, and projections of the technological development in aquaculture feed technology, to investigate the feasibility of sustaining current and increased per capita fish consumption rates in 2050. We conclude that meeting current and larger consumption rates is feasible, despite a growing population and the impacts of climate change on potential fisheries production, but only if fish resources are managed sustainably and the animal feeds industry reduces its reliance on wild fish. Ineffective fisheries management and rising fishmeal prices driven by greater demand could, however, compromise future aquaculture production and the availability of fish products.",2012,,aquaculture; climate change; fish; fisheries; marine fisheries,https://hdl.handle.net/20.500.12348/919,https://doi.org/10.1016/j.gloenvcha.2012.03.003,Limited access,,,,En,Global Environmental Change,Elsevier Ltd,,Journal Article
"Functional aquatic ecosystems, inland fisheries and the Millennium Development Goals","Brummett, R.E.; Beveridge, M.; Cowx, I.",World Bank; WorldFish; University of Hull,"Freshwater allocation in an environment of increasing demand and declining quality and availability is a major societal challenge. While biodiversity and the needs of local communities are often in congruence, the over-riding necessity of meeting national demands for power, food and, increasingly, mitigation of the hydrological effects of climate change, often supersedes these. Sophisticated models of ecosystem function to establish environmental flows are difficult to implement and consequently have generally failed to reduce rates of biodiversity and habitat loss, resulting in disenfranchisement of local communities resulting from dam construction and water abstraction for industry and agriculture. There are no agreed standards upon which a fairer allocation of resources can be made and thus a pragmatic approach to the resolution of these conflicts is clearly needed. While having generally negative impacts on biodiversity and traditional lifestyles, creation of new infrastructure and active management generates national economic growth and much-needed employment. Intensification of usage in watersheds already expropriated for human enterprise can spare land needed for the biodiversity that will fuel adaptation for the future. Taking advantage of a range of mitigation technologies and building their cost into the investment plans for water management infrastructure can improve the cost/benefit ratio of water control infrastructure and may be a more practical and efficacious approach to the valuation of fisheries and the maintenance of other essential services from functional aquatic ecosystems.",2013,,adaptation; agriculture; biodiversity; climate change; development; ecosystems; fisheries; water management; water power,https://hdl.handle.net/20.500.12348/858,https://doi.org/10.1111/j.1467-2979.2012.00470.x,Limited access,,,,En,Fish and Fisheries,Wiley-Blackwell Publishing Ltd,,Journal Article
Limits to resilience from livelihood diversification and social capital in lake social-ecological systems,"Goulden, M.C.; Adger, W.N.; Allison, E.; Conway, D.",University of East Anglia; University of Exeter; University of East Anglia,"Diversity of both social networks and livelihood sources plays a central role in determining the sustainability of natural resource use and resilience of social–ecological systems, not least in resource-dependent economies. Yet the types of social capital and characteristics of diversity are not well understood. Here we examine social capital and livelihood diversification strategies in dynamic lakeshore social–ecological systems in Uganda adapting to climate variability and change. Water and land use data are used to explain lake system variations and lakeshore people's livelihood responses in terms of adaptive cycles and examine how system resilience changes over time in response to climatic and other stresses. Interview and household survey data are used to explain household adaptations to climate variability based on livelihood diversification and social capital and to determine which adaptations were dominant during different stages of adaptive cycles. Results show that households adapt to climate variability using concurrent, spatial, and temporal diversification of livelihoods and by drawing on social capital, but these sources of resilience are not sufficient in all circumstances. The availability of adaptation options varies according to the different stages in the adaptive cycle of the lakeshore's dynamic, coupled human–ecological system; to the degree and nature of the climatic stress; and to differences in household access to assets and adaptation options. This implies a need to maintain multiple sources of resilience for use in times of system collapse or crisis.",2013,,adaptation; climate change; livelihoods; resilience; surveys,https://hdl.handle.net/20.500.12348/767,https://doi.org/10.1080/00045608.2013.765771,Limited access,,Uganda,,En,,Taylor & Francis,,Journal Article
