dc.title,dc.creator,cg.contributor.affiliation,dc.description.abstract,dc.date.issued,dc.subject,cg.subject.agrovoc,dc.identifier.uri,dc.identifier.doi,cg.identifier.status,dc.rights,cg.coverage.country,cg.coverage.region,dc.language,dc.source,dc.publisher,cg.contributor.funder,dc.type
Cost-effective methods for accurate determination of sea level rise vulnerability: A Solomon Islands example,"Albert, S.; Abernethy, K.; Gibbes, B.; Grinham, A.; Tooler, N.; Aswani, S.",University of Queensland; WorldFish; Roviana Conservation Foundation; University of California,"For millions of people living along the coastal fringe, sea level rise is perhaps the greatest threat to livelihoods over the coming century. With the refinement and downscaling of global climate models and increasing availability of airborne-lidar-based inundation models, it is possible to predict and quantify these threats with reasonable accuracy where such information is available. For less developed countries, especially small island states, access to high-resolution digital elevation models (DEMs) derived from lidar is limited. The only freely available DEMs that could be used for inundation modeling by these nations are those based on data from the Shuttle Radar Topography Mission (SRTM). These data are generally unsuitable for local-scale planning and adaption projects. To address this disparity, low-cost ground-based techniques were tested and applied to accurately determine coastal topography in the Solomon Islands.",2013,,climate change; environmental impact assessment; livelihoods,https://hdl.handle.net/20.500.12348/774,https://doi.org/10.1175/WCAS-D-13-00010.1,Open access,,Solomon Islands,,En,,American Meteorological Society,,Journal Article
Indonesian aquaculture futures — identifying interventions for reducing environmental impacts,"Henriksson, P.J.; Banks, L.; Suri, S.; Pratiwi, T.; Ahmad Fatan, N.; Troell M. ",Stockholm Resilience Centre; Independent / Not associated; WorldFish,"Indonesia is the world's second largest producer and third largest consumer of seafood. Fish is thus essential to the nation, both financially and nutritionally. Overfishing and the effects of climate change will, however, limit future capture fisheries landings, so any increases in future seafood production will need to come from aquaculture. Aquaculture's ecological effects are dependent upon the choice of species, management, and where it is sited. In the present study we use Life Cycle Assessment (LCA) to evaluate how possible interventions and innovations can mitigate environmental impacts related to the aquaculture sector's growth.",2019,lca; seafood; coral; mangrove; Fish,land use; sustainability,https://hdl.handle.net/20.500.12348/3827,https://dx.doi.org/10.1088/1748-9326/ab4b79,Open access,CC-BY-4.0,Indonesia,South-Eastern Asia,en,Environmental Research Letters;(2019),IOP Publishing,Walton Family Foundation,Journal Article
Model-based scenarios for achieving net negative emissions in the food system,"Almaraz, M.; Houlton, B.Z.; Clark, M.; Holzer, I.; Zhou, Y.; Vang, L.; Moberg, E.; Manaigo, E.; Halpern, B.S.; Scarborough, C.; Lei, X.G.; Ho, M.; Allison, E.; Sibanda, L.; Salter, A.","University of California-Davis; Cornell University; University of Oxford; University of Copenhagen; WorldFish; Alliance for a Green Revolution in Africa; World Wildlife Fund; University of Nottingham, School of Biosciences; University of California-Santa Barbara, National Center for Ecological Analysis and Synthesis; University of California-Santa Barbara, Bren School of Environmental Science and Management; Princeton University, High Meadows Environmental Institute","Most climate mitigation scenarios point to a combination of GHG emission reductions and CO2 removal for avoiding the most dangerous climate change impacts this century. The global food system is responsible for ~1/3 of GHG emissions and thus plays an important role in reaching emission targets. Consumers, technology innovation, industry, and agricultural practices offer various degrees of opportunity to reduce emissions and remove CO2. However, a question remains as to whether food system transformation can achieve net negative emissions (i.e., where GHG sinks exceed sources sector wide) and what the capacity of the different levers may be. We use a global food system model to explore the influence of consumer choice, climate-smart agro-industrial technologies, and food waste reductions for achieving net negative emissions for the year 2050. We analyze an array of scenarios under the conditions of full yield gap closures and caloric demands in a world with 10 billion people. Our results reveal a high-end capacity of 33 gigatonnes of net negative emissions per annum via complete food system transformation, which assumes full global deployment of behavioral-, management- and technology-based interventions. The most promising technologies for achieving net negative emissions include hydrogen-powered fertilizer production, livestock feeds, organic and inorganic soil amendments, agroforestry, and sustainable seafood harvesting practices. On the consumer side, adopting flexitarian diets cannot achieve full decarbonization of the food system but has the potential to increase the magnitude of net negative emissions when combined with technology scale-up. GHG reductions ascribed to a mixture of technology deployment and dietary shifts emerge for many different countries, with areas of high ruminant production and non-intensive agricultural systems showing the greatest per capita benefits. This analysis highlights potential for future food systems to achieve net negative emissions using multifaceted “cradle-to-grave” and “land-to-sea” emission reduction strategies that embrace emerging climate-smart agro-industrial technologies.",2023,climate scenarios,models; food systems; greenhouse gas emissions,https://hdl.handle.net/20.500.12348/5759,https://dx.doi.org/10.1371/journal.pclm.0000181,Open access,CC-BY-4.0,,,en,PLOS Climate;(2023),Public Library of Science,"World Wildlife Fund; University of California-Santa Barbara, National Center for Ecological Analysis and Synthesis; Rockefeller Foundation; Wellcome Trust",Journal Article
Food security versus environment conservation: A case study of Solomon Islands' small-scale fisheries,"Hardy, P.Y.; Bene, C.; Doyen, L.; Schwarz, A.M.",CNRS-MNHN; University of Sussex; WorldFish,"The sustainable management of small-scale fisheries in coral reef ecosystems constitutes a difficult objective not least because these fisheries usually face several worsening pressures, including demographic growth and climate change. The implications are crucial in terms of food security as fish represents the major protein source for local populations in many regions reliant on small-scale fisheries. The case of the Solomon Islands’ fishery presented in this paper represents an illustrative example of these issues. The paper proposes a bio-economic model based on the local fishery that accounts for multi-species and multi-fleet dynamics and integrates calibrated Lotka–Volterra trophic dynamics. Several contrasting fishing scenarios are tested and their results compared using two biological indicators (Simpson index and species richness) and two socio-economic indicators (fish consumption and cash income). The simulations identify the conditions under which fishing outputs including subsistence and profitability of fishing can be sustained for the next forty years.",2013,,climate change; coral reefs; fisheries; food security; small-scale fisheries; small-scale fisheries,https://hdl.handle.net/20.500.12348/837,https://doi.org/10.1016/j.envdev.2013.04.009,Limited access,,Solomon Islands,,En,Environmental Development,Elsevier BV,,Journal Article
Water allocation using system dynamic modelling in the aquaculture integrated with small-scale irrigation systems in Malawi,"Chunga, B.A.; Marx, W.; Cai, X.; de Clercq, W.; Watson, A.; Malota, M.","International Water Management Institute; WorldFish; Stellenbosch University; Stuttgart University, Institute for Modelling Hydraulic and Environmental Systems; Mzuzu University","The agricultural sector is faced with numerous challenges including climate change and water scarcity in many developing countries. In order to address scarcity and improve water use efficiency for rural farmers, fish farming is being integrated with small-scale irrigation. However, there are challenges in how to allocate water between the two farming enterprises. This study explored the capabilities of system dynamics to allocate water between a fish pond and a crop field in Chingale, Malawi using a system dynamic software, Vensim™ PLE. For soil water and pond water, a simple water balance structure was built and connected to the crop growth structure. Simulations run for 125 days corresponding to the maize growth period. Model results are similar to the actual yield (about 3.5 ton/ha for hybrid) and biomass production (about 7 ton/ha) in the area. Results also show it was possible to maintain pond water depth at recommended depths for raising fish: fish stocking (1 m), operation of the pond (1.5–2.0 m) and harvesting of the fish (less than 1.2 m) throughout the maize growing period. While the study did not comprehensively build and simulate fish growth, the use of such simple tools would benefit rural farmers with few resources. Based on the promising capabilities and the results of the tool it is recommended that further comprehensive analysis to fully incorporate all key sub-components affecting crop and fish growth be carried out.",2023,small-scale irrigation,aquaculture; climate change; modelling; water allocation; fish ponds; decision-support systems; fish,https://hdl.handle.net/20.500.12348/5838,https://dx.doi.org/10.1016/j.pce.2022.103355,Timeless limited access,Copyrighted; all rights reserved,Malawi,Eastern Africa,en,"Physics and Chemistry of the Earth, Parts A/B/C;129,(2023)",Elsevier (12 months),,Journal Article
"Innovation, practice, and adaptation to climate in the aquaculture sector","Lebel, L.; Navy, H.; Jutagate, T.; Akester, M.J.; Sturm, L.; Lebel, P.; Lebel, B.","Chiang Mai University; Ministry of Agriculture, Forestry and Fisheries; Ubon Ratchathani University; WorldFish","The importance of innovation for effective responses to climate change is widely asserted, but exactly how and whom innovation helps adapt has received little systematic attention. In this synthetic review, a practice-oriented framework is used to show that innovations which contribute to adaptation in the aquaculture sector include changes to the material, procedural and informational dimensions of practice. The material dimension is dominated by concerns with cost and competitiveness, whereas for the procedural dimension issues of skills and compliance arise, and for the informational dimension, key issues are trust, reliability and persuasiveness. A secondary classification into ten types of practices identified additional associations with adaptation mechanisms, for instance, technical practices are followed and adjusted to reduce and manage risks, while many infrastructural and technological practices aim to control rearing environments. Innovation has been driven more by concerns with increasing productivity, disease control, and food safety than extreme weather events and climate change. Nevertheless, many new practices have significant implications for adaptation. This study also shows that innovation and adaptation are timebound and face social limits, and these are better understood when different dimensions and types of practice, sources of innovation, and mechanisms of adaptation are distinguished.",2021,practices,adaptation; aquaculture; climate; innovation,https://hdl.handle.net/20.500.12348/4452,https://dx.doi.org/10.1080/23308249.2020.1869695,Timeless limited access,CC-BY-NC-4.0,,Global,en,Reviews in Fisheries Science & Aquaculture;(2021),Taylor & Francis Group,Chiang Mai University,Journal Article
Morals and climate decision-making: insights from social and behavioural sciences,"Lau, J.; Song, A.M.; Morrison, T.; Fabinyi, M.; Brown, K.; Blythe, J.; Allison, E.; Adger, W.N.","James Cook University, ARC Centre of Excellence for Coral Reef Studies; WorldFish; University of Technology Sydney; University of Exeter; Brock University","Decisions about climate change are inherently moral. They require making moral judgements about important values and the desired state of the present and future world. Hence there are potential benefits in explaining climate action by integrating well-established and emerging knowledge on the role of morality in decision-making. Insights from the social and behavioural sciences can help ground climate change decisions in empirical understandings of how moral values and worldviews manifest in people and societies. Here, we provide an overview of progress in research on morals in the behavioural and social sciences, with an emphasis on empirical research. We highlight the role morals play in motivating and framing climate decisions; outline work describing morals as relational, situated, and dynamic; and review how uneven power dynamics between people and groups with multiple moralities shape climate decision-making. Effective and fair climate decisions require practical understandings of how morality manifests to shape decisions and action. To this end, we aim to better connect insights from social and behavioural scholarship on morality with real-world climate change decision-making.",2021,climate decision-making; social and behavioural sciences,climate change,https://hdl.handle.net/20.500.12348/5259,https://dx.doi.org/10.1016/j.cosust.2021.06.005,Timeless limited access,Copyrighted; all rights reserved,,Global,en,"Current Opinion in Environmental Sustainability;52,(2021) Pagination 27,35",Elsevier,"University of Washington, Nippon Foundation Ocean Nexus Center",Journal Article
Retention of fish biodiversity in a mixed-use agroecosystem in Cambodia,"Tilley, A.; Freed, S.; Cagua, E.; Longobardi, L.; Sean, V.; Mith, S.; Kim, M.; Kura, Y.",WorldFish,"Fisheries of the Mekong Basin are crucial to regional food security. They rely on seasonal monsoon rains that inundate rice fields and reconnect water bodies. Species assemblages vary over time and space, but infrastructure developments and climate change are negatively impacting the timing and magnitude of the flood pulse as well as fish migration routes and populations. In lowland rice field landscapes of Cambodia, community fish refuges (CFRs) are used to maintain fish abundance and biodiversity, with varying success. There is little knowledge of the drivers of this variation to guide management interventions. We used beta diversity to explore the effectiveness of 40 CFRs in maintaining species abundance and diversity during the dry seasons from 2012 to 2015. Results show CFR connectivity to the floodplain is important and suggest the type of inlet/outlet influences fish retention. CFRs connected to a large area of rice fields during the wet season had lower losses in species abundance through the dry season. However, large CFRs, or those part of a larger body of water, had higher losses in species abundance. Key design features of CFRs must be coupled with strong management capacity to guide the conservation and fisheries strategy in the Mekong Basin.",2023,small scale fisheries; rice field fisheries; aquatic foods; mekong; beta diversity; flood pulse; dissimilarity,fish,https://hdl.handle.net/20.500.12348/5719,https://dx.doi.org/10.1007/s10750-023-05400-6,Open access,CC-BY-4.0,Cambodia,South-Eastern Asia,en,Hydrobiologia;(2023),Springer (part of Springer Nature),United States Agency for International Development; Deutsche Gesellschaft für Internationale Zusammenarbeit; CGIAR System Organization,Journal Article
Escaping the perfect storm of simultaneous climate change impacts on agriculture and marine fisheries,"Thiault, L.; Cinner, J.; Graham, N.; Mora, C.; Cheung, W.W.; Januchowski-Hartley, F.A.; Mouillot, D.; Sumaila, U.; Claudet, J.","James Cook University, School of Environmental and Earth Sciences, Center for Tropical Environmental and Sustainability Science; WorldFish; James Cook University, ARC Centre of Excellence for Coral Reef Studies; James Cook University, College of Science and Engineering; The French National Center for Scientific Research; Lancaster University, Lancaster Environment Centre; Lancaster University; University of Hawaiʻi System; The University of British Columbia; University of Montpellier; University of British Columbia, Institute for the Oceans and Fisheries","Climate change can alter conditions that sustain food production and availability, with cascading consequences for food security and global economies. Here, we evaluate the vulnerability of societies to the simultaneous impacts of climate change on agriculture and marine fisheries at a global scale. Under a “business-as-usual” emission scenario, ~90% of the world’s population—most of whom live in the most sensitive and least developed countries—are projected to be exposed to losses of food production in both sectors, while less than 3% would live in regions experiencing simultaneous productivity gains by 2100. Under a strong mitigation scenario comparable to achieving the Paris Agreement, most countries—including the most vulnerable and many of the largest CO2 producers—would experience concomitant net gains in agriculture and fisheries production. Reducing societies’ vulnerability to future climate impacts requires prompt mitigation actions led by major CO2 emitters coupled with strategic adaptation within and across sectors.",2019,decision,agriculture; climate change; fisheries; food security; sustainability; training; marine fisheries; oceans; goal 2 zero hunger; goal 14 life below water; goal 13 climate action,https://hdl.handle.net/20.500.12348/3923,https://dx.doi.org/10.1126/sciadv.aaw9976,Open access,CC-BY-NC-4.0,,Global,en,"Science Advances;5,(2019)",American Association for the Advancement of Science,CGIAR System Organization,Journal Article
Nudging fisheries and aquaculture research towards food systems,"Simmance, F.; Cohen, P.J.; Huchery, C.; Sutcliffe, S.; Suri, S.; Tezzo, X.; Thilsted, S.H.; Oosterveer, P.; McDougall, C.; Ahern, M.; Freed, S.; Byrd, K.A.; Wesana, J.; Cowx, I.; Mills, D.J.; Akester, M.J.; Chan, C.; Nagoli, J.; Wate, J.; Phillips, M.","International Food Policy Research Institute; WorldFish; CGIAR Research Program on Agriculture for Nutrition and Health; University of Greenwich, Natural Resources Institute; University of Washington, College of the Environment, School of Marine and Environmental Affairs; James Cook University, ARC Centre of Excellence for Coral Reef Studies; University of Tasmania, Center for Marine Socioecology; University of Amsterdam; Wageningen University & Research Centre; Food and Agriculture Organization of the United Nations; University of Hull, Hull International Fisheries Institute","Food system is a powerful concept for understanding and responding to nutrition and sustainability challenges. Food systems integrate social, economic, environmental and health aspects of food production through to consumption. Aquatic foods are an essential part of food systems providing an accessible source of nutrition for millions of people. Yet, it is unclear to what degree research across diverse disciplines concerning aquatic foods has engaged food systems, and the value this concept has added. We conducted a systematic review of fisheries, aquaculture and aquatic food literature (2017–2019) to determine the following: the characteristics of this research; the food systems components and interrelations with which research engaged; and the insights generated on nutrition, justice, sustainability and climate change. Sixty five of the 88 reviewed articles focussed on production and supply chains, with 23 considering human nutrition. Only 13% of studies examined low- and middle-income countries that are most vulnerable to undernutrition. One third of articles looked beyond finfish to other aquatic foods, which illuminated values of local knowledge systems and diverse foods for nutrition. When aggregated, reviewed articles examined the full range of food system drivers—biophysical and environmental (34%), demographic (24%) and socio-cultural (27%)—but rarely examined interactions between drivers. Future research that examines a diversity of species in diets, system-wide flows of nutrients, trade-offs amongst objectives, and the nutritional needs of vulnerable social groups would be nudging closer to the ambitions of the food systems concept, which is necessary to address the global challenges of equity, nutrition and sustainability.",2022,policy; aquatic foods; Fish,food security; nutrition; sustainability; systems; paper; fish,https://hdl.handle.net/20.500.12348/4901,https://dx.doi.org/10.1111/faf.12597,Open access,CC-BY-4.0,,Global,en,"Fish and Fisheries;23,(2021) Pagination 34,53",Wiley (12 months),,Journal Article
Social equity and benefits as the nexus of a transformative Blue Economy: A sectoral review of implications,"Cisneros-Montemayor, A.M.; Allison, E.","Nippon Foundation Nereus Program, The Nereus Program; University of Washington, College of the Environment, School of Marine and Environmental Affairs","The term ‘Blue Economy’ is increasingly used in various marine sectors and development frameworks. For it to be a truly useful approach, however, we argue that social benefits and equity must be explicitly prioritized alongside environmental and economic concerns. This integration of social dimensions within the Blue Economy is required to ensure that marine economic sectors contribute to achieving sustainable development goals. We review what an equity-focused ‘Blue Economy’ might mean for some established and emergent marine sectors and note existing guidelines that may be used for incorporating these aspects into planning.",2019,,climate change; governance; sustainable development goals; ecosystems; marine fisheries; fishery management; ecotourism,https://hdl.handle.net/20.500.12348/3804,https://dx.doi.org/10.1016/j.marpol.2019.103702,Timeless limited access,Copyrighted; all rights reserved,,Global,en,Marine Policy;(2019),Elsevier (12 months),CGIAR Research Program on Fish Agri-Food Systems,Journal Article
Vulnerabilities in aquatic animal production,"Chadag, V.; Subasinghe, R.P.; Delamare-Deboutteville, J.; Phillips, M.J.",Independent / Not associated; WorldFish; The Norwegian Veterinary Institute,"The role of aquatic animals in global food and nutrition security is increasingly recognised. The global demand for fish is increasing, leading to a need to significantly increase its supply. Securing future fish supplies through sustainable production is a challenge as major resources such as fresh water and land are becoming limited worldwide. Aquaculture and capture fisheries face various threats from both human-mediated and natural environmental change, including climate change. Aquaculture systems and practices are vulnerable to such changes. Moreover, aquatic animal diseases are currently considered one of the most important constraints to sustainable global fish production. The need to increase global production, combined with climate change, may increase losses due to diseases. This paper examines key vulnerabilities, their impacts and management to achieve increased and sustainable global fish production. The authors focus on the need to apply international standards, and to develop biosecurity and capacity in aquatic animal health to improve global fish health. Research needed to underpin the development of improved detection and control of fish diseases is also discussed.",2019,shrimp,aquaculture; climate change; food security; disease transmission; biosecurity; tilapia; fish diseases; carp,https://hdl.handle.net/20.500.12348/3851,https://dx.doi.org/10.20506/rst.38.2.2996,Timeless limited access,CC-BY-4.0,,,en,Revue Scientifique et Technique-Office International des Epizooties;(2019),World Organisation for Animal Health,CGIAR System Organization,Journal Article
Understanding social-ecological challenges of a small-scale hilsa (Tenualosa ilisha) fishery in Bangladesh,"Mozumder, M.; Abdul, W.M.; Pyhälä, A.; Sarkki, S.; Schneider, P.; Islam, M.","University of Helsinki, Helsinki Institute of Sustainability Science; WorldFish; University of Helsinki; University of Oulu; Magdeburg Stendal University of Applied Sciences; Sylhet Agricultural University","Small-scale fisheries (SSFs) have been playing a crucial role in meeting the basic needs of millions of people around the world. Despite this, the sustainability of global fisheries is a growing concern, and the factors enabling or constraining the sustainable management of small-scale fisheries remain poorly understood. Hilsa shad (Tenualosa ilisha) is the single most valuable species harvested in Bangladesh waters, serves nutrition, income, and employment to the large population. This study analyzed the state and challenges of hilsa fishery in the Gangetic River systems (Padma and Meghna Rivers) by using two frameworks, namely the social-ecological systems (SES) and drivers-pressure-state-impact-responses (DPSIR) frameworks. Primary data for this analysis were collected by in-depth interviews (n=130) and focus group discussions (n=8) with various stakeholders in the hilsa fisheries. The perspectives explored here have been both critical and constructive, including the identification of problems and suggestions for improving the management of this particular social-ecological system. Hilsa fisheries, however, have come under severe threat since 2003 because of population growth, overfishing, pollution, climate change, the disruption of migration routes due to siltation, etc. All these have caused reduced catches and less stable incomes for fishers. This, in turn, has led to poverty, malnutrition, social tensions, stakeholder conflicts, and debt cycles amongst more impoverished fishing communities. These problems have been compounded by improved fishing technology amongst larger-scale ventures, the use of illegal fishing gears, and the non-compliance of government fishery management programs. Recommendations include the promotion of community-supported fisheries, the enhancement of stakeholder’s social resilience, the introduction of co-management approach, an increase in incentives and formal financial supports, and possible community-managed sustainable ecotourism including hilsa fishing-based tourism.",2019,sustainable management; hilsa fishery; social-ecological systems (ses); dpsir,impacts; small-scale fisheries; social resilience,https://hdl.handle.net/20.500.12348/3877,https://dx.doi.org/10.3390/ijerph16234814,Open access,CC-BY-4.0,Bangladesh,Southern Asia,en,International Journal of Environmental Research and Public Health;(2019),MDPI,United States Agency for International Development,Journal Article
Building adaptive capacity to climate change in tropical coastal communities,"Cinner, J.; Adger, W.N.; Allison, E.; Barnes, M.; Brown, K.; Cohen, P.J.; Gelcich, S.; Hicks, C.; Hughes, T.P.; Lau, J.; Marshall, N.A.; Morrison, T.H.",Australian Research Council Centre of Excellence for Coral Reef Studies; James Cook University; University of Exeter; University of Washington; University of Hawaii at Manoa; WorldFish; Pontificia Universidad Catolica de Chile; Pontificia Universidad Catolica de Chile; Lancaster University; James Cook University,"To minimize the impacts of climate change on human wellbeing, governments, development agencies, and civil society organizations have made substantial investments in improving people’s capacity to adapt to change. Yet to date, these investments have tended to focus on a very narrow understanding of adaptive capacity. Here, we propose an approach to build adaptive capacity across five domains: the assets that people can draw upon in times of need; the flexibility to change strategies; the ability to organize and act collectively; learning to recognize and respond to change; and the agency to determine whether to change or not.",2018,,climate change; small-scale fisheries,https://hdl.handle.net/20.500.12348/667,https://doi.org/10.1038/s41558-017-0065-x,Limited access,,,,En,Nature Climate Change,Nature Publishing Group,Australian Research Council (ARC),Journal Article
Planetary boundaries and Veterinary Services,"Alders, R.G.; Chadag, V.; Debnath, N.C.; Howden, M.; Meza, F.; Shipp, M.; Swai, E.S.; Wingett, K.","University of Sydney; Independent / Not associated; WorldFish; Australian National University; NSW Department of Primary Industries; Fleming Fund; Chatham House, Global Health Program; Australian National University, College of Asia and the Pacific, Crawford School of Public Policy, Development Policy Centre; Australian National University, Institute of Climate, Energy and Disaster Solutions; Kyeema Foundation; The Pontifical Catholic University of Chile; Department of Agriculture, Water and the Environment","National Veterinary Services (NVS) play a crucial role in animal health, production and welfare. They are also intimately involved with safeguarding global health security and the health of the planet. Climate change is just one of the nine planetary boundaries (PBs), i.e. Earth system processes, that can be used to monitor the vital signs of our living planet. In this paper, the authors identify the positive and negative impacts of humaninduced management of aquatic and terrestrial animals in relation to these PBs. In the context of NVS, the authors provide an overview of the real and potential impacts of NVS policies on Earth systems and offer suggestions as to how new sustainability paradigms may assist with reviewing and revising NVS mandates and facilitating stakeholder engagement. Opportunities are proposed for the World Organisation for Animal Health to contribute to the global debate on the role of aquatic and terrestrial animal agriculture and wildlife in sustainable development. In addition, the paper suggests that a wider debate is required in relation to recent significant increases in domestic animal populations and PBs. Intersectoral and interdisciplinary collaboration are required to achieve the transformation of the framework in which NVS operate. While such transformations cannot be driven by the veterinary profession alone, veterinarians have proven very effective operators in the One Health arena. By building on these intersectoral linkages, it will be possible for our profession and NVS to actively contribute to the crucial discussions and transformations required to pull Earth system metrics back within safe boundaries.",2021,agro-ecology; sustainable diets; animal-source food; planetary boundaries; circular food sytems; earth system processes; national veterinary services,climate change; one health; sustainable production; fish,https://hdl.handle.net/20.500.12348/4873,https://dx.doi.org/10.20506/rst.40.2.3236,Open access,CC-BY-4.0,,,en,"Scientific and Technical Review;40,(2021) Pagination 439-453",World Organisation for Animal Health,,Journal Article
Vulnerability and adaptation of African rural populations to hydro-climate change: experience from fishing communities in the Inner Niger Delta (Mali),"Morand, P.; Kodio, A.; Andrew, N.L.; Sinaba, F.; Lemoalle, J.; Bene, C.",UMI Résiliences; IER (Institut d'Economie Rurale); WorldFish; UMR G-Eau IRD; University of Sussex,"In this paper we examine ways Sahelian floodplain fishers have adapted to the strong environmental variations that have affected the region in the last two decades. We analyse their vulnerability and adaptive capacity in the face of expected changes in rainfall combined with the predicted effects of dam construction. Data from the Inner Niger Delta in Mali were used to show that fishers were highly sensitive to past and recent variations in the hydro-climatic conditions. Moreover, it appears their traditional livelihood strategies, although diversified, sophisticated and well suited to historical conditions, offer a limited set of options to adapt to increased environmental constraints. For fish-dependent households that have adopted a mixed set of activities through farming, the high seasonality and constraints characterizing both their main activities (fishing and farming) does not allow switching between activities. For those households that undertake seasonal fishing migrations, there is little opportunity to modify migration routes or find new settlements sites inside the delta because of the high population density in this area. In sum, although the adoption of diversified and spatially discrete patterns in livelihood activities is often presented as a strategy to reduce vulnerability, such a strategy does not appear sufficient to allow fishers of the delta to successfully face the increasing constraints associated with the changes in hydro-climatic conditions. In such a context, fishing communities will be driven towards more drastic strategies of adaptation and/or coping such as switching to new activities based on agricultural innovations or emigration from the delta. Both strategies present many hazards, particularly in the absence of supportive public policy.",2012,,adaptation; climate change; fisheries; floodplains,https://hdl.handle.net/20.500.12348/916,https://doi.org/10.1007/s10584-012-0492-7,Limited access,,Mali,,En,Climatic Change,Springer Netherlands,,Journal Article
Quantifying greenhouse gas emissions from global aquaculture,"MacLeod, M.J.; Hasan, M.R.; Robb, D.H.; Rashid, M.U.",Scotland's Rural College; Food and Agriculture Organization of the United Nations; Cargill; WorldFish,"Global aquaculture makes an important contribution to food security directly (by increasing food availability and accessibility) and indirectly (as a driver of economic development). In order to enable sustainable expansion of aquaculture, we need to understand aquaculture’s contribution to global greenhouse gas (GHG) emissions and how it can be mitigated. This study quantifies the global GHG emissions from aquaculture (excluding the farming of aquatic plants), with a focus on using modern, commercial feed formulations for the main species groups and geographic regions. Here we show that global aquaculture accounted for approximately 0.49% of anthropogenic GHG emissions in 2017, which is similar in magnitude to the emissions from sheep production. The modest emissions reflect the low emissions intensity of aquaculture, compared to terrestrial livestock (in particular cattle, sheep and goats), which is due largely to the absence of enteric CH4 in aquaculture, combined with the high fertility and low feed conversion ratios of finfish and shellfish.",2020,decision; climate sciences; Fish,aquaculture; climate change; sustainability; greenhouse gases; training; greenhouse effect; greenhouse gas emissions; environmental sciences,https://hdl.handle.net/20.500.12348/4238,https://dx.doi.org/10.1038/s41598-020-68231-8,Open access,CC-BY-4.0,,Global,en,Scientific Reports;(2020),Nature Research (part of Springer Nature) (Fully open access journals),CGIAR Research Program on Fish Agri-Food Systems,Journal Article
Food security and the coral Triangle Initiative,"Foale, S.; Adhuri, D.S.; Aliño, P.; Allison, E.; Andrew, N.L.; Cohen, P.J.; Evans, L.; Fabinyi, M.; Fidelman, P.; Gregory, C.; Stacey, N.; Tanzer, J.; Weeratunge, N.",James Cook University; WorldFish; University of the Philippines; University of the Sunshine Coast; Australian National University; Charles Darwin University; Global Marine Programme,"The Asia-Pacific's Coral Triangle is defined by its extremely high marine biodiversity. Over one hundred million people living in its coastal zones use this biodiversity to support their livelihoods. Hundreds of millions more derive nutritious food directly from the region's marine resources and through local, regional and global trade. Biodiversity and its values to society are threatened by demographic and habitat change, rising demand, intensive harvesting and climate change. In partnership with international conservation organisations and development funders, the governments of the region's six countries have come together to develop the Coral Triangle Initiative (CTI) on Coral Reefs, Fisheries and Food Security. The CTI has explicit goals and defined targets for marine biodiversity conservation, but not for the food security of the region's marine-resource dependent people, despite this being the wider aim used to justify conservation action. This article suggests how the food security aim of the CTI could be made more explicit. It outlines the complex pathways linking marine biodiversity with food security and argues that improved social science analysis, inter-sectoral policy and management interactions are necessary if conserving marine biodiversity is to contribute towards meeting food security challenges in the region.",2013,,biodiversity; climate change; coral reefs; ecosystems; food security; livelihoods; marine fisheries,https://hdl.handle.net/20.500.12348/815,https://doi.org/10.1016/j.marpol.2012.05.033,Limited access,,,,En,Marine Policy,Elsevier Ltd,,Journal Article
